no ogrn;info@torins.ru;+7 (800) 250-47-60;"""Веб-регистратура.ру""
                                            <span>ООО</span>";ул. Телевизорная, д.4Г, офис 308, Красноярск, 660036;http://web-registratura.ru/;https://www.orgpage.ru/krasnoyarsk/veb-832461.html
1022402126438;muzpg2@mail.ru;+7 (3912) 433732;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 2""";660028,  Россия, Красноярский край, Красноярск г, Академика Киренского ул, 118;  https://www.rusprofile.ru/id/832229,http://kgp2.web-registratura.ru/,http://bus.gov.ru/pub/info-card/61431;https://www.orgpage.ru/krasnoyarsk/kgbuz-kgp-2-5528456.html
1022402303912;muzgdp2@yandex.ru;+7 (3912) 061828;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ ГОРОДСКАЯ ДЕТСКАЯ ПОЛИКЛИНИКА № 2""";660093,  Россия, Красноярский край, Красноярск г, Александра Матросова ул, 7/А;  https://www.rusprofile.ru/id/3763291,http://гдп2.рф,http://bus.gov.ru/pub/info-card/48434;https://www.orgpage.ru/krasnoyarsk/kgbuz-kgdp-2-5532062.html
1022402467152;mail@gp14.ru;+7 (3912) 224383;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 14""";"660112,  Россия, Красноярский край, Красноярск г, Воронова ул, 35""Г""";  https://www.rusprofile.ru/id/659074,http://gp14.krasgmu.ru,http://bus.gov.ru/pub/info-card/84287;https://www.orgpage.ru/krasnoyarsk/kgbuz-kgp-14-5533442.html
1022401625278;m2secr@mail.ru;+7 (3919) 371351;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ  ""НОРИЛЬСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 2""";663330,  Россия, Красноярский край, Норильск г, Маслова ул, 5,7;  https://www.rusprofile.ru/id/1464901,http://гп2норильск.рф,http://bus.gov.ru/pub/info-card/108997;https://www.orgpage.ru/norilsk/kgbuz-norilskaya-gp-2-5534457.html
1022402059745;admingdp4@mail.ru;+7 (3912) 285273;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ ГОРОДСКАЯ ДЕТСКАЯ ПОЛИКЛИНИКА № 4""";660004,  Россия, Красноярский край, Красноярск г, Краснофлотская 2-я ул, 22;  https://www.rusprofile.ru/id/3069935,http://kgdp4.24krs.ru,http://bus.gov.ru/pub/info-card/5966;https://www.orgpage.ru/krasnoyarsk/kgbuz-kgdp-4-5534493.html
no ogrn;no emails;+7 (391) 249-04-60;Красноярский краевой клинический центр охраны материнства и детства;Академика Киренского, 2а, Красноярск, 660074;http://pericentr.ru;https://www.orgpage.ru/krasnoyarsk/krasnoyarskiy-kraevoy-1993611.html
no ogrn;no emails;+7 (391) 221-77-77;Детская поликлиника №1;Ленина, 149, Красноярск, 660021;http://web-registratura.ru;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-1-1994124.html
no ogrn;no emails;+7 (391) 246-39-93;Детская поликлиника №2;Мирошниченко, 2, Красноярск, 660130;http://www.krgdb4.ucoz.ru;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-2-1994218.html
no ogrn;no emails;+7 (391) 249-44-06;Детская поликлиника №3;Академгородок, 1а, Красноярск, 660036;http://www.krgdb4.ucoz.ru;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-3-1994227.html
no ogrn;no emails;+7 (391) 221-34-10;Детская поликлиника №2;Ломоносова, 47 к7, Красноярск, 660058;http://web-registratura.ru;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-2-1994255.html
no ogrn;no emails;+7 (391) 247-40-04;Детская поликлиника №1;Юшкова, 14а, Красноярск, 660113;http://www.krgdb4.ucoz.ru;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-1-1994305.html
no ogrn;no emails;+7 (391) 243-56-05;Детская поликлиника №3;Новая Заря, 1, Красноярск, 660028;http://www.krgdb4.ucoz.ru;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-3-1994712.html
no ogrn;no emails;+7 (391) 202-25-10;Детская поликлиника №2;Яковлева, 27, Красноярск, 660018;http://web-registratura.ru;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-2-1994721.html
no ogrn;no emails;+7 (391) 262-12-48;Городская детская поликлиника №4;Коломенская, 23, Красноярск, 660037;http://gdp4.krasgmu.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029238.html
no ogrn;no emails;+7 (391) 224-37-05;Городская детская поликлиника №3;Металлургов проспект, 41а, Красноярск, 660073;http://www.web-registratura.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029249.html
no ogrn;no emails;+7 (391) 211-26-69;Городская детская поликлиника №1;Диктатуры Пролетариата, 35, Красноярск, 660060;http://www.web-registratura.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029359.html
no ogrn;no emails;+7 (391) 275-55-96;Городская детская поликлиника №3;Весны, 6, Красноярск, 660077;http://www.web-registratura.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029369.html
no ogrn;no emails;+7 (391) 291-76-82;Городская детская поликлиника №4;Борисевича, 14а, Красноярск, 660124;http://gdp4.krasgmu.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029394.html
no ogrn;no emails;+7 (391) 266-99-13;Городская детская поликлиника №4;Ширинская, 15, Красноярск, 660046;http://gdp4.krasgmu.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029441.html
no ogrn;no emails;+7 (391) 220-16-58;Городская детская поликлиника №3;Партизана Железняка, 9Б, Красноярск, 660022;http://www.web-registratura.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029451.html
no ogrn;no emails;+7 (391) 266-91-27;Городская детская поликлиника №4;Спортивная, 192, Красноярск, 660046;http://gdp4.krasgmu.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029470.html
no ogrn;no emails;+7 (391) 224-82-91;Городская детская поликлиника №3;Малиновского, 19, Красноярск, 660005;http://www.web-registratura.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029477.html
no ogrn;no emails;+7 (391) 264-30-63;Городская детская поликлиника №4;Мичурина, 5в, Красноярск, 660068;http://gdp4.krasgmu.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029491.html
no ogrn;no emails;+7 (391) 266-96-10;Городская детская поликлиника №4;Борисевича, 8, Красноярск, 660124;http://gdp4.krasgmu.ru;https://www.orgpage.ru/krasnoyarsk/gorodskaya-detskaya-poliklinika-2029512.html
